,num_words,word_list_size,chars_between,mod_probability,symbol_guesses,total_strength,days_to_crack
147,2,2200,2,0.8,10,6834273599.999999,7.910038888888887e-07
148,2,2200,3,0.5,10,4538710000.0,5.253136574074074e-07
149,2,2200,3,0.6,10,6145638399.999999,7.113007407407406e-07
150,2,2200,3,0.7,10,7995631600.0,9.254203240740741e-07
151,2,2200,3,0.8,10,10088689600.0,1.1676724074074074e-06
152,2,2200,4,0.5,10,6002810000.0,6.947696759259259e-07
153,2,2200,4,0.6,10,8128102399.999999,9.407525925925925e-07
154,2,2200,4,0.7,10,10574867600.0,1.2239430092592593e-06
155,2,2200,4,0.8,10,13343105599.999998,1.544340925925926e-06
156,2,2300,2,0.5,10,3360472500.0,3.889435763888889e-07
157,2,2300,2,0.6,10,4550246399.999999,5.266488888888888e-07
158,2,2300,2,0.7,10,5919986100.0,6.851835763888889e-07
159,2,2300,2,0.8,10,7469691599.999999,8.645476388888887e-07
160,2,2300,3,0.5,10,4960697500.0,5.741548032407407e-07
161,2,2300,3,0.6,10,6717030399.999999,7.774340740740739e-07
162,2,2300,3,0.7,10,8739027100.0,1.0114614699074074e-06
163,2,2300,3,0.8,10,11026687600.0,1.2762369907407408e-06
164,2,2300,4,0.5,10,6560922500.0,7.593660300925926e-07
165,2,2300,4,0.6,10,8883814399.999998,1.028219259259259e-06
166,2,2300,4,0.7,10,11558068100.0,1.337739363425926e-06
167,2,2300,4,0.8,10,14583683599.999998,1.6879263425925923e-06
168,2,2400,2,0.5,10,3659040000.0,4.235e-07
169,2,2400,2,0.6,10,4954521599.999999,5.734399999999999e-07
170,2,2400,2,0.7,10,6445958400.0,7.4606e-07
171,2,2400,2,0.8,10,8133350399.999999,9.413599999999998e-07
172,2,2400,3,0.5,10,5401440000.0,6.251666666666667e-07
173,2,2400,3,0.6,10,7313817599.999999,8.465066666666665e-07
174,2,2400,3,0.7,10,9515462400.0,1.1013266666666665e-06
175,2,2400,3,0.8,10,12006374400.0,1.3896266666666668e-06
176,2,2400,4,0.5,10,7143840000.0,8.268333333333334e-07
177,2,2400,4,0.6,10,9673113599.999998,1.119573333333333e-06
178,2,2400,4,0.7,10,12584966400.0,1.4565933333333333e-06
179,2,2400,4,0.8,10,15879398399.999998,1.837893333333333e-06
180,2,2500,2,0.5,10,3970312500.0,4.595269097222222e-07
181,2,2500,2,0.6,10,5375999999.999999,6.22222222222222e-07
182,2,2500,2,0.7,10,6994312500.0,8.095269097222221e-07
183,2,2500,2,0.8,10,8825250000.0,1.0214409722222221e-06
184,2,2500,3,0.5,10,5860937500.0,6.783492476851851e-07
185,2,2500,3,0.6,10,7935999999.999999,9.185185185185183e-07
186,2,2500,3,0.7,10,10324937500.0,1.1950159143518519e-06
187,2,2500,3,0.8,10,13027749999.999998,1.5078414351851852e-06
188,2,2500,4,0.5,10,7751562500.0,8.971715856481482e-07
189,2,2500,4,0.6,10,10495999999.999998,1.2148148148148147e-06
190,2,2500,4,0.7,10,13655562500.0,1.5805049189814816e-06
191,2,2500,4,0.8,10,17230250000.0,1.9942418981481482e-06
192,2,2600,2,0.5,10,4294290000.0,4.970243055555555e-07
193,2,2600,2,0.6,10,5814681599.999999,6.729955555555555e-07
194,2,2600,2,0.7,10,7565048400.0,8.755843055555556e-07
195,2,2600,2,0.8,10,9545390400.0,1.1047905555555557e-06
196,2,2600,3,0.5,10,6339190000.0,7.337025462962963e-07
197,2,2600,3,0.6,10,8583577599.999999,9.934696296296296e-07
198,2,2600,3,0.7,10,11167452400.0,1.292529212962963e-06
199,2,2600,3,0.8,10,14090814399.999998,1.6308812962962962e-06
200,2,2600,4,0.5,10,8384090000.0,9.70380787037037e-07
201,2,2600,4,0.6,10,11352473599.999998,1.3139437037037036e-06
202,2,2600,4,0.7,10,14769856400.0,1.7094741203703705e-06
203,2,2600,4,0.8,10,18636238400.0,2.156972037037037e-06
204,2,2700,2,0.5,10,4630972500.0,5.359921875e-07
205,2,2700,2,0.6,10,6270566399.999999,7.2576e-07
206,2,2700,2,0.7,10,8158166100.0,9.442321875e-07
207,2,2700,2,0.8,10,10293771600.0,1.19140875e-06
208,2,2700,3,0.5,10,6836197500.0,7.912265625000001e-07
209,2,2700,3,0.6,10,9256550399.999998,1.0713599999999998e-06
210,2,2700,3,0.7,10,12043007100.0,1.3938665624999999e-06
211,2,2700,3,0.8,10,15195567599.999998,1.7587462499999998e-06
212,2,2700,4,0.5,10,9041422500.0,1.0464609375e-06
213,2,2700,4,0.6,10,12242534399.999998,1.4169599999999997e-06
214,2,2700,4,0.7,10,15927848100.0,1.8435009375e-06
215,2,2700,4,0.8,10,20097363600.0,2.32608375e-06
216,2,2800,2,0.5,10,4980360000.0,5.764305555555556e-07
217,2,2800,2,0.6,10,6743654399.999999,7.805155555555554e-07
218,2,2800,2,0.7,10,8773665600.0,1.0154705555555554e-06
219,2,2800,2,0.8,10,11070393600.0,1.2812955555555556e-06
220,2,2800,3,0.5,10,7351960000.0,8.509212962962963e-07
221,2,2800,3,0.6,10,9954918399.999998,1.1521896296296294e-06
222,2,2800,3,0.7,10,12951601600.0,1.4990279629629631e-06
223,2,2800,3,0.8,10,16342009599.999998,1.8914362962962961e-06
224,2,2800,4,0.5,10,9723560000.0,1.1254120370370371e-06
225,2,2800,4,0.6,10,13166182399.999998,1.5238637037037034e-06
226,2,2800,4,0.7,10,17129537600.0,1.98258537037037e-06
227,2,2800,4,0.8,10,21613625600.0,2.501577037037037e-06
228,2,2900,2,0.5,10,5342452500.0,6.183394097222222e-07
229,2,2900,2,0.6,10,7233945599.999999,8.372622222222221e-07
230,2,2900,2,0.7,10,9411546900.0,1.0892994097222222e-06
231,2,2900,2,0.8,10,11875256400.0,1.3744509722222222e-06
232,2,2900,3,0.5,10,7886477500.0,9.127867476851851e-07
233,2,2900,3,0.6,10,10678681599.999998,1.2359585185185182e-06
234,2,2900,3,0.7,10,13893235900.0,1.6080134143518518e-06
235,2,2900,3,0.8,10,17530140400.0,2.028951435185185e-06
236,2,2900,4,0.5,10,10430502500.0,1.207234085648148e-06
237,2,2900,4,0.6,10,14123417599.999998,1.6346548148148148e-06
238,2,2900,4,0.7,10,18374924900.0,2.1267274189814817e-06
239,2,2900,4,0.8,10,23185024400.0,2.683451898148148e-06
240,2,3000,2,0.5,10,5717250000.0,6.6171875e-07
241,2,3000,2,0.6,10,7741439999.999999,8.96e-07
242,2,3000,2,0.7,10,10071810000.0,1.16571875e-06
243,2,3000,2,0.8,10,12708359999.999998,1.470875e-06
244,2,3000,3,0.5,10,8439750000.0,9.768229166666666e-07
245,2,3000,3,0.6,10,11427839999.999998,1.3226666666666664e-06
246,2,3000,3,0.7,10,14867910000.0,1.7208229166666668e-06
247,2,3000,3,0.8,10,18759960000.0,2.171291666666667e-06
248,2,3000,4,0.5,10,11162250000.0,1.2919270833333333e-06
249,2,3000,4,0.6,10,15114239999.999998,1.7493333333333331e-06
250,2,3000,4,0.7,10,19664010000.0,2.2759270833333335e-06
251,2,3000,4,0.8,10,24811560000.0,2.8717083333333333e-06
252,2,3100,2,0.5,10,6104752500.0,7.065685763888889e-07
253,2,3100,2,0.6,10,8266137599.999999,9.56728888888889e-07
254,2,3100,2,0.7,10,10754454900.0,1.244728576388889e-06
255,2,3100,2,0.8,10,13569704399.999998,1.5705676388888888e-06
256,2,3100,3,0.5,10,9011777500.0,1.0430298032407408e-06
257,2,3100,3,0.6,10,12202393599.999998,1.412314074074074e-06
258,2,3100,3,0.7,10,15875623900.0,1.8374564699074073e-06
259,2,3100,3,0.8,10,20031468400.0,2.318456990740741e-06
260,2,3100,4,0.5,10,11918802500.0,1.3794910300925927e-06
261,2,3100,4,0.6,10,16138649599.999998,1.867899259259259e-06
262,2,3100,4,0.7,10,20996792900.0,2.430184363425926e-06
263,2,3100,4,0.8,10,26493232399.999996,3.066346342592592e-06
